i,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y
1,4.72,1410,0.6,20438,11542,536678.3,20790.43,1083,5694.549,1656
2,4.79,1412,0.62,21157,12042,665595.7,22246.75,1119,5533.067,1680
3,4.85,1409,0.64,21137,12572,685155.1,22685.08,1133,5689.137,1677
4,4.9,1433,0.59,20357,10792,643414.1,22090.15,1096,5863.039,1664
5,4.85,1421,0.61,20111,11452,648320.9,20751.6,1084,5530.319,1630
6,4.83,1414,0.64,20494,10396,556028.1,22060.92,1091,5445.745,1651
7,4.79,1380,0.47,19872,9227,578510,20826.56,1023,5222.486,1639
8,4.73,1359,0.52,20832,10037,609717,22073.04,1073,4883.346,1637
9,4.71,1391,0.47,17927,8543,555254,17035.87,926,3923.648,1615
10,4.79,1431,0.56,19281,9838,571542.7,20259.55,990,4128.302,1617
11,4.65,1385,0.49,19393,6507,542657.9,20345.29,1001,3941.009,1598
12,4.43,1390,0.59,20251,9656,606522.4,21857.73,1041,4986.875,1654
13,4.71,1390,0.65,20739,10991,662882,18875.11,1065,4960.803,1658
14,4.83,1410,0.53,18843,7119,541723.3,19135.35,970,5142.251,1638
15,4.88,1370,0.74,20280,8101,596816.7,21863.88,1043,4281.973,1639
16,4.48,1410,0.53,19724,9284,582055.6,19207.21,1016,6163.142,1608
17,4.9,1405,0.45,20337,10555,548312.7,21408.35,1051,5652.739,1642
18,4.71,1397,0.76,20371,10614,640469.2,20210.1,1050,5651.67,1700
19,4.32,1391,0.64,19956,12493,583138,19923.71,1032,4656.095,1657
20,4.75,1411,0.54,20267,11806,554606.1,19385.53,1066,5464.145,1662
21,4.64,1387,0.46,21035,11555,555447.5,20095.13,1085,5499.504,1621
22,4.63,1358,0.53,20561,9694,542540.6,18896.21,1079,6093.295,1606
23,4.65,1347,0.51,19715,9759,622224.8,21351.94,1058,4795.267,1620
24,4.8,1405,0.56,18984,12117,718207.9,21754.43,1016,3907.822,1628
25,4.73,1366,0.47,19776,10488,617986.1,21525.6,1058,4276.881,1602
26,4.66,1395,0.61,20220,12095,601561,22638.82,1074,3936.496,1626
27,4.78,1406,0.51,19720,7464,584082.4,21581.52,1053,4344.701,1594
28,4.75,1410,0.64,19884,9033,601492.4,21214.23,1083,4880.309,1657
29,4.75,1370,0.53,19076,8214,610990.5,21024.91,1047,4254.454,1612
30,4.45,1417,0.62,20172,10136,595724.5,21894.28,1091,5326.938,1638
31,4.76,1441,0.54,19188,8951,576091.3,18333.32,995,4927.558,1634
32,4.89,1412,0.49,19368,8081,577461.6,18254.37,997,5235.535,1639
33,4.82,1370,0.54,19146,5975,529428.4,18268.93,987,4022.057,1636
34,4.61,1348,0.71,19626,7970,233727,21914.51,1014,5808.033,1608
35,4.82,1404,0.62,20360,10585,552762.6,21829.85,1048,5221.355,1670
36,4.58,1429,0.56,19160,9702,417302.2,19680.97,984,5603.407,1608
37,4.54,1465,0.58,19174,10728,600137.9,17812.76,990,5226.74,1624
38,4.62,1388,0.62,18736,10974,571370.3,19792.62,975,4898.886,1638
39,4.75,1444,0.56,18898,9337,602732.8,20167.05,973,4493.946,1633
40,4.76,1407,0.55,20292,10879,651970.7,21078.13,1049,5070.001,1646
41,4.9,1400,0.58,20619,10106,635689.5,20662.34,1062,5881.407,1660
42,5.12,1438,0.52,19212,9483,636511.9,20159.72,991,5191.958,1639
